2025-12-26 22:57:27 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 全球稳定币产业发展报告（64页）
2025-12-26 22:57:27 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507291042073714403.zip
2025-12-26 22:57:27 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: RWA代币化研究报告（21页）
2025-12-26 22:57:27 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507250937364263472.zip
2025-12-26 22:57:27 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 金融产品行业报告：低利率时代REITs的配置价值，制度、市场与展望（31页）
2025-12-26 22:57:27 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507240922044028916.zip
2025-12-26 22:57:27 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 银行历次存款整改和利率下调回顾与复盘报告（24页）
2025-12-26 22:57:27 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507231006241629544.zip
2025-12-26 22:57:27 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 保险行业报告：普惠保险体系（19页）
2025-12-26 22:57:27 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507221454471483561.zip
2025-12-26 22:57:27 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 高质量发展增量政策对金融行业影响解析报告（37页）
2025-12-26 22:57:27 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507221341271443440.zip
2025-12-26 22:57:27 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 中国租赁业调查报告（104页）
2025-12-26 22:57:27 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507111402317900222.zip
2025-12-26 22:57:27 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 稳定币研究报告：数字金融（19页）
2025-12-26 22:57:27 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507111359428436112.zip
2025-12-26 22:57:27 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: RWA代币化研究报告（32页）
2025-12-26 22:57:27 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507111352536890464.zip
2025-12-26 22:57:27 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 稳定币行业报告：稳定币法案，发行平台、支付以及RWA场景（40页）
2025-12-26 22:57:27 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507101458442088320.zip
2025-12-26 22:57:27 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 保险行业AI应用全景洞察报告：保险业数智化转型与未来展望（33页）
2025-12-26 22:57:27 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507101455241655741.zip
2025-12-26 22:57:27 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 稳定币行业报告（17页）
2025-12-26 22:57:28 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507101449505076712.zip
2025-12-26 22:57:28 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 从稳定币产业链看加密货币行业投资价值研究报告（29页）
2025-12-26 22:57:28 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507101453492908438.zip
2025-12-26 22:57:28 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 稳定币+数字人民币研究报告：共同推进人民币国际化（28页）
2025-12-26 22:57:28 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507101426483034660.zip
2025-12-26 22:57:28 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 稳定币专题报告：全球支付体系（9页）
2025-12-26 22:57:28 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507081648026650710.zip
2025-12-26 22:57:28 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 长护险深度报告：长护险有望催生万亿级护理需求（61页）
2025-12-26 22:57:28 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507011410222813529.zip
2025-12-26 22:57:28 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 两轮贸易摩擦及两融表现的对比分析报告（58页）
2025-12-26 22:57:28 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507291044102210667.zip
2025-12-26 22:57:28 | ERROR    | download.downloader:download_report:98 - ❌ 下载失败: 全球虚拟资产牌照研究报告（24页）
2025-12-26 22:57:28 | ERROR    | core.http_client:download_file:171 - ❌ 下载失败: ❌ 请求失败，已重试 1 次: https://ipo.ai-tag.cn/2025/07/202507011352082766180.zip
